signature,size,buggy_gen,state+fault,interval,commits,churn
maven-artifact/src/test/java/org/apache/maven/artifact/resolver/ArtifactResolverTest.java^137^169+maven-artifact/src/test/java/org/apache/maven/artifact/resolver/NewLayoutArtifactResolverTest.java^137^169,33,True,I_Y,W_Y,52d4ebc^14bb2c8,4
maven-artifact/src/test/java/org/apache/maven/artifact/resolver/ArtifactResolverTest.java^171^206+maven-artifact/src/test/java/org/apache/maven/artifact/resolver/NewLayoutArtifactResolverTest.java^171^206,36,True,I_Y,W_Y,52d4ebc^14bb2c8,4
maven-plugins/maven-deploy-plugin/src/main/java/org/apache/maven/plugin/deploy/DeployMojo.java^89^102+maven-plugins/maven-install-plugin/src/main/java/org/apache/maven/plugin/install/InstallMojo.java^67^80,14,True,C_Y^I_Y^I_N^I_N^C_Y^I_Y^I_Y^C_Y^I_Y^I_Y^I_Y^I_Y^I_Y^C_N,W_Y^D_Y^D_N^D_N^M_Y^W_Y^M_Y^M_Y^M_Y^M_Y^Y_Y^D_Y^D_Y^W_N,964aa52^3f0f786^e697f5b^b9de151^5db2c4c^23b8cd0^ab91b7f^8fc3e7a^48cf14a^01e6c8d^cb257db^8f3c207^cb23701^3a4efa1^459737f,2^37^10^4^4^13^2^14^4^7^14^18^14^6
sandbox/repoclean/src/main/java/org/apache/maven/tools/repoclean/rewrite/V3PomRewriter.java^114^145+sandbox/repoclean/src/main/java/org/apache/maven/tools/repoclean/rewrite/V4PomRewriter.java^100^131,32,False,C_Y^C_Y^C_N^C_N,M_Y^W_Y^M_N^M_N,80880d0^2eed725^26ec2d7^d7e66db^099c538,38^18^4^4
sandbox/repoclean/src/main/java/org/apache/maven/tools/repoclean/discover/DefaultArtifactDiscoverer.java^43^67+sandbox/repoclean/src/main/java/org/apache/maven/tools/repoclean/discover/LegacyArtifactDiscoverer.java^41^64,25,False,C_Y^C_Y^I_N^I_N^I_N^C_N^C_N,D_Y^M_Y^M_N^D_N^W_N^Y_N^Y_N,80880d0^1b4723f^2eed725^65b5427^a02dd8e^6e51d42^08239ec^2b44cce,28^24^43^61^2^12^2
maven-mboot2/src/main/java/MBoot.java^853^877+maven-mboot2/src/main/java/MBoot.java^879^903,25,True,I_N^I_Y^I_N^I_Y^I_Y^I_Y^I_Y^I_N^I_N^I_N^I_N,M_N^W_Y^D_N^M_Y^M_Y^Y_Y^W_Y^D_N^W_N^M_N^M_N,14bb2c8^c700675^f5270e4^27363f8^2383535^14b9e9f^31e79ea^ba35fd5^f11def8^ba88f96^d8f499d^a440e6b,33^16^12^2^2^2^16^2^5^1^1
maven-artifact/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java^132^165+maven-artifact/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java^267^296,34,True,I_Y^I_Y^I_Y^I_N^I_N^I_Y^I_N^I_N^I_N^I_Y^I_N^I_N,M_Y^D_Y^D_Y^D_N^D_N^M_Y^Y_N^M_N^W_N^W_Y^YY_N^M_N,3f0f786^a75e7d2^26c968d^3aea101^082bda5^d43cfef^7363dbc^075932b^b4cfe56^b76388e^fda77af^eb8b61c^c8f8fef,20^20^26^9^6^12^11^5^6^108^4^10
maven-artifact/src/main/java/org/apache/maven/artifact/repository/layout/DefaultRepositoryLayout.java^37^54+maven-artifact/src/main/java/org/apache/maven/artifact/repository/layout/DefaultRepositoryLayout.java^71^89,19,True,I_N^I_N^I_Y^I_Y^I_Y^I_Y^I_Y^I_N^I_Y^I_Y^I_Y^I_Y,D_N^M_N^M_Y^M_Y^Y_Y^W_Y^M_Y^W_N^D_Y^Y_Y^W_Y^W_Y,5b5a124^dd05b8a^cd9f297^2383535^05affa0^01e6c8d^26d36d8^ca59227^03a50c1^cb257db^e0457b0^abd4ae6^6a5e897,13^4^7^9^18^2^4^4^2^14^10^2
maven-artifact/src/main/java/org/apache/maven/artifact/repository/layout/DefaultRepositoryLayout.java^53^67+maven-artifact/src/main/java/org/apache/maven/artifact/repository/layout/LegacyRepositoryLayout.java^52^66,15,True,C_Y^C_Y^I_Y,Y_Y^D_Y^Y_Y,cd9f297^7fc8dfb^01e6c8d^e0457b0,10^1^10
maven-core/src/test/java/org/apache/maven/plugin/PluginParameterExpressionEvaluatorTest.java^81^94+maven-core/src/test/java/org/apache/maven/plugin/PluginParameterExpressionEvaluatorTest.java^102^115,14,True,C_Y^C_Y^C_N^I_N^I_N^I_N^I_N,D_Y^W_Y^W_N^D_N^M_N^W_N^W_N,b2e4433^f4bf6c1^6140649^7d6b029^874a8c1^3966104^8d4ca04^5345ee5,4^4^4^13^6^4^9
sandbox/repoclean/src/test/java/org/apache/maven/tools/repoclean/translate/PomV3ToV4TranslatorTest.java^31^47+sandbox/repoclean/src/test/java/org/apache/maven/tools/repoclean/translate/PomV3ToV4TranslatorTest.java^79^95,17,False,C_N^C_N,Y_N^D_N,d7e66db^b147d63^08239ec,8^8
sandbox/repoclean/src/test/java/org/apache/maven/tools/repoclean/translate/PomV3ToV4TranslatorTest.java^31^47+sandbox/repoclean/src/test/java/org/apache/maven/tools/repoclean/translate/PomV3ToV4TranslatorTest.java^52^68,17,False,C_N^C_N,Y_N^D_N,d7e66db^b147d63^08239ec,8^8
sandbox/repoclean/src/test/java/org/apache/maven/tools/repoclean/translate/PomV3ToV4TranslatorTest.java^52^77+sandbox/repoclean/src/test/java/org/apache/maven/tools/repoclean/translate/PomV3ToV4TranslatorTest.java^79^104,26,False,C_N^C_N,Y_N^D_N,d7e66db^b147d63^08239ec,8^8
